program,value,vote,year,text
0403010 Capacity Building & Training (Pre Service & In Service),8.495e+09,1081 Ministry of Health,2022,1081 Ministry of Health 0403010 Capacity Building & Training (Pre Service & In Service)
0403020 Research & Innovations on Health,3.904e+09,1081 Ministry of Health,2022,1081 Ministry of Health 0403020 Research & Innovations on Health
0403000 Health Research and Development,1.2399e+10,1081 Ministry of Health,2022,1081 Ministry of Health 0403000 Health Research and Development
"0404010 Health Policy, Planning & Financing",1457510362,1081 Ministry of Health,2022,"1081 Ministry of Health 0404010 Health Policy, Planning & Financing"
"0404020 Health Standards, Quality Assurance & Standards",1077235560,1081 Ministry of Health,2022,"1081 Ministry of Health 0404020 Health Standards, Quality Assurance & Standards"
0404030 National Quality Control Laboratories,118030341,1081 Ministry of Health,2022,1081 Ministry of Health 0404030 National Quality Control Laboratories
0404040 Human Resource Management and Development,6176794793,1081 Ministry of Health,2022,1081 Ministry of Health 0404040 Human Resource Management and Development
"0404000 General Administration, Planning & Support Services",8829571056,1081 Ministry of Health,2022,"1081 Ministry of Health 0404000 General Administration, Planning & Support Services"
"0405040 Health Policy, Planning & Financing",15204927724,1081 Ministry of Health,2022,"1081 Ministry of Health 0405040 Health Policy, Planning & Financing"
0405050 Health Standards and Regulations,456564421,1081 Ministry of Health,2022,1081 Ministry of Health 0405050 Health Standards and Regulations
0405070 Social Protection In Health,7221996184,1081 Ministry of Health,2022,1081 Ministry of Health 0405070 Social Protection In Health
"0405000 Health Policy, Standards and Regulations",22883488329,1081 Ministry of Health,2022,"1081 Ministry of Health 0405000 Health Policy, Standards and Regulations"
0202010 Construction of Roads and Bridges,103474424724,1091 State Department for Infrastructure,2022,1091 State Department for Infrastructure 0202010 Construction of Roads and Bridges
0202020 Rehabilitation of Roads,39244272192,1091 State Department for Infrastructure,2022,1091 State Department for Infrastructure 0202020 Rehabilitation of Roads
0202030 Maintenance of Roads,7.1967e+10,1091 State Department for Infrastructure,2022,1091 State Department for Infrastructure 0202030 Maintenance of Roads
"0202060 General Administration, Planning and Support Services",6607870938,1091 State Department for Infrastructure,2022,"1091 State Department for Infrastructure 0202060 General Administration, Planning and Support Services"
0202000 Road Transport,221293567854,1091 State Department for Infrastructure,2022,1091 State Department for Infrastructure 0202000 Road Transport
0201020 Human Resources and Support Services,672993611,1092 State Department for Transport,2022,1092 State Department for Transport 0201020 Human Resources and Support Services
0201030 Financial Management Services,29237589,1092 State Department for Transport,2022,1092 State Department for Transport 0201030 Financial Management Services
0201040 Information Communications Services,5768800,1092 State Department for Transport,2022,1092 State Department for Transport 0201040 Information Communications Services
"0201000 General Administration, Planning and Support Services",7.08e+08,1092 State Department for Transport,2022,"1092 State Department for Transport 0201000 General Administration, Planning and Support Services"
0204010 Marine Transport,1045897488,1092 State Department for Transport,2022,1092 State Department for Transport 0204010 Marine Transport
0204000 Marine Transport,1045897488,1092 State Department for Transport,2022,1092 State Department for Transport 0204000 Marine Transport
0205010 Air Transport,9206102512,1092 State Department for Transport,2022,1092 State Department for Transport 0205010 Air Transport
0205000 Air Transport,9206102512,1092 State Department for Transport,2022,1092 State Department for Transport 0205000 Air Transport
0216010 Road Safety,1.2e+07,1092 State Department for Transport,2022,1092 State Department for Transport 0216010 Road Safety
0216000 Road Safety,1.2e+07,1092 State Department for Transport,2022,1092 State Department for Transport 0216000 Road Safety
0220010 Administrative Services,326664067,1093 State Department for Shipping and Maritime,2022,1093 State Department for Shipping and Maritime 0220010 Administrative Services
0220020 Shipping Affairs,108144411,1093 State Department for Shipping and Maritime,2022,1093 State Department for Shipping and Maritime 0220020 Shipping Affairs
0220030 Maritime Affairs,2925191522,1093 State Department for Shipping and Maritime,2022,1093 State Department for Shipping and Maritime 0220030 Maritime Affairs
0220000 Shipping and Maritime Affairs,3.36e+09,1093 State Department for Shipping and Maritime,2022,1093 State Department for Shipping and Maritime 0220000 Shipping and Maritime Affairs
0102010 Housing Development,10770052707,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0102010 Housing Development
0102020 Estate Management,1345843103,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0102020 Estate Management
0102030 Delivery of Affordable and Social Housing Units,2262104190,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0102030 Delivery of Affordable and Social Housing Units
0102000 Housing Development and Human Settlement,1.4378e+10,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0102000 Housing Development and Human Settlement
0105010 Urban Mobility and Transport,,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0105010 Urban Mobility and Transport
0105020 Metropolitan Planning & Infrastructure Development,2413705349,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0105020 Metropolitan Planning & Infrastructure Development
0105040 Urban Development and Planning Services,3306294651,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0105040 Urban Development and Planning Services
0105000 Urban and Metropolitan Development,5.72e+09,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0105000 Urban and Metropolitan Development
"0106010 Administration, Planning & Support Services",2.63e+08,1094 State Department for Housing & Urban Development,2022,"1094 State Department for Housing & Urban Development 0106010 Administration, Planning & Support Services"
0106000 General Administration Planning and Support Services,2.63e+08,1094 State Department for Housing & Urban Development,2022,1094 State Department for Housing & Urban Development 0106000 General Administration Planning and Support Services
